Name,Brand,Use,Use (General),Number of Strains,Number of Species,Bifidobacterium bifidum,Bifidobacterium breve,Bifidobacterium longum,Lactobacillus Acidophilus,Lactobacillus bulgaricus,Lactobacillus casei,Lactobacillus plantarum,Lactobacillus rhamnosus,Lactococcus/bacilllus lactis,Streptococcus thermophilus,Lactobacillus helveticus,Lactobacillus paracasei,Lactobacillus gasseri,Lactobacillus fermentum,Lactobacillus salivarius,Lactobacillus infantis,Lactobacillus brevis,Lactobacillus reuteri,Bacillus coagulans,Bifidobacterium lactis,Bifidobacterium infantis,Saccharomyces boulardii,Lactobacillus crispatus,Lactobacillus jensenii,Lacticaseibacillus rhamnosus,Bacillus subtilis,Lactiplantibacillus plantarum,Enterococcus faecium,Pediococcus acidilactici,Bacillus clausii,Akkermansia municiphila,Lactobacillus johnsonii,Limosilactobacillus reuteri,Levilactobacillus brevis,Bifidobacterium adolescentis,P. pentosaceus
"Santo Remedio Probiotic Supplement for Digestive Health, Unisex, 138 mg, 30 Count",Santo Remedio,Gut,Gut,10,9,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BIOHM Digestive Greens Powder, Probiotics, Mixed Berry Flavor, 7.4 oz, 30 Servings (Unisex)",BIOHM,Gut,Gut,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Bloating and Gas Defense Capsules, Helps Relieve Bloating and Indigestion, 30 Count",Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renew Life Extra Care Digestive Probiotic Capsules Unisex,Renew Life,"Gut, Respriatory",Gut,12,9,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nouri Digestive Health Probiotic with Omega for Digestion, Immune, and Brain Health, 30 Day Supply",Nouri,"Gut, Brain",Gut,5,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Love Wellness Probiotic, 3 billion CFU, 30 Count",Love Wellness,Gut,Gut,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Renew Life Digestive Duo Probiotic + Enzymes Capsules for Digestive Health, Unisex, 30 Count",Renew Life,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Love Wellness Vaginal Probiotics for Women, Good Girl Probiotics, 60 count",Love Wellness,"Vaginal, Urinary",Gut,8,8,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VitaHustle One Superfood Greens Powder, Probiotics, Mixed Berry, 25 Servings",VitaHustle,Gut,Gut,9,9,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BelliWelli Daily Fiber Supplement with Probiotics Electrolytes, and Collagen - Cucumber Lime cooler, 6.4 oz",BelliWelli,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOW Supplements, Probiotic-10, 25 Billion, with 10 Probiotic Strains, Dairy, Soy and Gluten Free, Strain Verified, 50 Veg Capsules",NOW,Gut,Gut,10,10,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIOHM Gut-Brain Collection Health Powder, Probiotics, 7.4 oz, 30 Servings (Unisex)",BIOHM,"Gut, Brain",Brain,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Kids Multivitamin + Probiotic Chewable, Fruit Punch Flavor, 50 Count",Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nordic Naturals Kids Probiotic Gummies, 1.5 Billion Cultures, Vegan 60 ct",Nordic Naturals,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florastor Baby Daily Probiotic Supplement for Infants, 18 unflavored sticks",Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pH-D Feminine Health Women's Health Probiotic with Prebiotic Blend & Cranberry Extract, 30 Count",pH-D,"Vaginal, Gut, Urinary",Vaginal/Urinary,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Renew Life Kids Tummy Gummy with Prebiotics and Probiotics, Unisex, Raspberry, 30 Count",Renew Life,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Florastor Kids Daily Probiotic Supplement, Saccharomyces Boulardii CNCM I-745, 30 Sticks",Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Way Fortify Daily Probiotic Capsules for Adults, 30 Billion Live Cultures, Unisex, 30 Count",Nature's Way,Gut,Gut,10,7,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align Probiotic Supplement , Gut Health + Immune Support Gummies, Vitamin C, Citrus, Unisex 50 Ct",Align,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nouri Prenatal Health Probiotic with Omega and B6 Vegan Capsules, 30 Day Supply",Nouri,Gut,Gut,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Renew Life Women's Care Go-Pack Capsules, 15 Billion CFU, 30 Count",Renew Life,"Vaginal, Urinary, Gut",Vaginal/Urinary,12,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trubiotics Women's Probiotic Capsules, 30 Ct",TruBiotics,"Gut, Vaginal, Bone",Vaginal/Urinary,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florajen - Florajen Kids Multiculture Probiotic Supplement 6 Billion - 30 Capsules,Florajen,Gut,Gut,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renew Life Kids Chewable Probiotic Tablets, Unisex, 3 Billion CFU, Berry, 60 Count",Renew Life,Gut,Gut,6,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bio360 Probiotics Kids' Formula, Daily Chewable Vegan Probiotic for Kids Whole Body Health, 30 Ct",Bio360,Gut,Gut,10,10,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renew Life Extra Care Go-Pack Probiotic Capsules, Unisex, 50 billion CFU, 30 Count",Renew Life,"Gut, Respiratory",Respiratory,12,9,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SmartyPants Baby Probiotic Supplement, 30 Day Supply",SmartyPants Vitamins,Gut,Gut,5,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bio-Kult Boosted Gut Health Probiotic Supplement, 30 Count",Bio-Kult,Gut,Gut,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"(2 pack) Spring Valley Probiotic Acidophilus Dietary Supplement, 30 Count",Spring Valley,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Equate Digestive Care Probiotic Capsules, 28 Count",Equate,Gut,Gut,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dr. Formulated Women's Monthly Balance PMS Support Softgels.- Cramp, Mood, and Skin Support, Plus Probiotics, 1 Month Supply",Garden of Life,"Muscle, Breast, Skin",Muscle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Garden of Life 10B Probiotic Gummy,Garden of Life,Gut,Gut,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Garden of Life Dr. Formulated Kids Probiotic + Vitamin D (30ct Carton) (12/3pk),Garden of Life,"Gut, Respiratory",Respiratory,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
